Assigned to,,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,z_par_median,z_k_median,z_par_q1,z_par_top1pc,z_kq5_cond_parq1,z_ktop1pc_cond_parq1,z_mr_kq5_pq1,z_mr_ktop1_pq1,z_trend_parq1,z_trend_bottom40,z_count,dis^2_to_1,dis^2_to_2,dis^2_to_3,dis^2_to_4,dis^2_to_5,min_dis^2
1,39,Texas State Technical College Harlingen,Brownsville,TX,29100,25400,43.21106,0.22869818,14.214651,0.45726299,6.1423016,0.19758819,-12.196259,-7.7596059,873.6666667,-1.70730353,-0.895514962,3.479239702,-0.45601486,-0.387638079,-0.196470497,3.282659056,1.37973039,-2.622818282,-0.950162037,-0.03616561,20.83687636,54.39626186,101.0633157,45.87001862,47.3636458,20.83687636
1,40,CUNY Laguardia Community College,New York,NY,33800,31800,36.779636,0.033236787,16.46369,0,6.055285,0,-9.2045507,-8.4401712,1178,-1.5421785,-0.397320448,2.750412143,-0.524726916,-0.22597788,-0.413648433,3.216459453,-0.518847829,-1.970644027,-1.043801906,-0.023072484,13.66091033,43.6373167,99.31435614,33.13511718,34.96518505,13.66091033
1,41,Bloomfield College,Newark,NJ,40800,35600,26.851263,0.017513698,22.484524,0.54988819,6.0373793,0.14765193,-8.6646423,-11.421399,227,-1.296247604,-0.101517455,1.625300214,-0.530254175,0.206797729,-0.15247798,3.202837337,0.899904669,-1.852947272,-1.453992936,-0.063986709,14.51687495,31.30619881,77.2119908,28.2660327,31.8554367,14.51687495
1,43,CUNY Bronx Community College,New York,NY,29700,28700,40.972702,0.091748536,14.355651,0.005452111,5.8818979,0.002233877,1.6001225,-1.2388018,778.6666667,-1.686223739,-0.638633416,3.225582503,-0.504157828,-0.377503044,-0.411058943,3.084551781,-0.497383033,0.384709167,-0.052956077,-0.04025273,13.403558,45.84653114,98.32291054,33.94673973,28.69404291,13.403558
1,45,"Berkeley College of New York, NY",New York,NY,42500,36500,27.447081,0.53121299,21.035694,0.005645605,5.7736835,0.001549554,3.6672459,7.4207873,372,-1.236521529,-0.031458851,1.692820032,-0.349669488,0.102656295,-0.410967042,3.002225533,-0.503958531,0.835329525,1.138528107,-0.057748473,12.78416319,32.25123999,78.79778514,25.42739947,19.84679663,12.78416319
1,46,Tulsa Welding School,Tulsa,OK,43900,26100,27.616358,0.061896194,20.878515,0,5.7658854,0,-4.6119528,-7.5679498,255,-1.187335349,-0.841024937,1.712002991,-0.514652053,0.091358319,-0.413648433,2.996292973,-0.518847829,-0.969485553,-0.923791823,-0.062782085,8.936812051,32.32766125,85.79031119,21.71947929,23.2468962,8.936812051
1,47,Southwest Texas Junior College,Uvalde,TX,28100,28000,42.978165,0.087250732,13.336743,0.29788846,5.7318873,0.12802699,-13.313918,-4.7178063,773.6666667,-1.742436516,-0.693123441,3.452847367,-0.505738976,-0.450741823,-0.272165736,2.970428245,0.711333259,-2.866461162,-0.531636853,-0.040467842,17.55209905,52.67467822,102.7667235,42.60035147,43.64053999,17.55209905
1,48,"California State University, Dominguez Hills",Los Angeles,CA,45600,40300,26.318241,0.073130883,21.281729,0.27680266,5.6009765,0.072849587,-7.9841657,-4.5438981,451.3333333,-1.127609275,0.264344142,1.56489662,-0.510702635,0.120341211,-0.282180478,2.87083526,0.181146635,-1.704607502,-0.507708597,-0.054335369,9.7914233,26.71815661,74.38918666,22.73939439,24.56062595,9.7914233
1,50,Hallmark College Of Technology,San Antonio,TX,42400,33200,31.601173,0.22928566,17.677214,0,5.5862064,0,-5.8956709,-9.2641716,108.5,-1.240034827,-0.288340398,2.163573746,-0.455808339,-0.138750166,-0.413648433,2.859598614,-0.518847829,-1.249328309,-1.157177198,-0.069084854,9.521720412,33.40581976,87.25405884,24.05181889,25.62970588,9.521720412
1,51,Queensborough Community College-CUNY,New York,NY,42200,32400,27.576023,0.063350827,20.115633,0.49320582,5.547092,0.13600655,-5.5555587,-7.4269667,1494,-1.247061424,-0.350614712,1.707432112,-0.514140694,0.036522607,-0.179399381,2.829841559,0.788006965,-1.175185913,-0.904393774,-0.009477431,9.41442802,28.111755,73.58123286,22.95395737,23.96366377,9.41442802
